epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7200999855995178,0.8536334037780762,1e-04,0.7055856585502625,0.7554000020027161,0.7937520146369934,0.7223783135414124,0.7997412085533142,0.9887999892234802
1,0.8425499796867371,0.5967831015586853,1e-04,0.8003507256507874,0.9128000140190125,0.821405827999115,0.600553572177887,0.8559500575065613,0.9329000115394592
2,0.8875499963760376,0.4834187924861908,1e-04,0.8699055314064026,0.9114000201225281,0.9069174528121948,0.42755553126335144,0.9164466261863708,0.9718000292778015
3,0.9054999947547913,0.4160720109939575,1e-04,0.8980172872543335,0.914900004863739,0.9197481870651245,0.39007142186164856,0.920587420463562,0.9842000007629395
4,0.9217000007629395,0.3627866208553314,1e-04,0.9167819619178772,0.9276000261306763,0.8994262218475342,0.39837637543678284,0.8910669684410095,0.9955000281333923
5,0.9294999837875366,0.32774782180786133,1e-04,0.9283862113952637,0.9308000206947327,0.929072380065918,0.3245525360107422,0.9261788725852966,0.9898999929428101
6,0.9363499879837036,0.29201576113700867,1e-04,0.9348281025886536,0.9380999803543091,0.9490755796432495,0.25823214650154114,0.9771638512611389,0.9585000276565552
7,0.9408000111579895,0.26754674315452576,1e-04,0.9404476284980774,0.9412000179290771,0.9439751505851746,0.2623026669025421,0.9432631134986877,0.9891999959945679
8,0.946399986743927,0.245985209941864,1e-04,0.9455089569091797,0.9473999738693237,0.9195091128349304,0.31253689527511597,0.9119318127632141,0.9951000213623047
9,0.9492999911308289,0.22959004342556,1e-04,0.9468868374824524,0.9520000219345093,0.9576824903488159,0.22080230712890625,0.9563373327255249,0.9922000169754028
10,0.9573000073432922,0.2042263001203537,1e-04,0.9542113542556763,0.9606999754905701,0.9419031143188477,0.23135997354984283,0.935708224773407,0.9955000281333923
11,0.9567999839782715,0.19548091292381287,1e-04,0.9550707340240479,0.9587000012397766,0.9700350761413574,0.16265584528446198,0.9777601361274719,0.9847999811172485
12,0.9605500102043152,0.1846907138824463,1e-04,0.962260365486145,0.9587000012397766,0.9241313338279724,0.27669569849967957,0.9138309359550476,0.9990000128746033
13,0.9626500010490417,0.17345181107521057,1e-04,0.9618648290634155,0.9635000228881836,0.9276378750801086,0.2673400044441223,0.9173705577850342,0.9991999864578247
14,0.9664499759674072,0.16216979920864105,1e-04,0.9668701887130737,0.9660000205039978,0.9292317628860474,0.26501742005348206,0.9191352128982544,0.9991000294685364
15,0.9718499779701233,0.14781050384044647,5e-05,0.9707672595977783,0.9729999899864197,0.9325789213180542,0.25354161858558655,0.9223104119300842,0.9995999932289124
16,0.972100019454956,0.14357799291610718,5e-05,0.9704065322875977,0.9739000201225281,0.9656518697738647,0.15988224744796753,0.9616906046867371,0.9965999722480774
17,0.9750499725341797,0.1337096393108368,5e-05,0.9727336168289185,0.9775000214576721,0.94899582862854,0.20794545114040375,0.9400978088378906,0.9997000098228455
18,0.9763500094413757,0.13061192631721497,5e-05,0.9748778939247131,0.9779000282287598,0.9504303336143494,0.21846114099025726,0.9416086077690125,0.9998000264167786
19,0.9785000085830688,0.12290224432945251,5e-05,0.977544903755188,0.9794999957084656,0.9705929160118103,0.14386382699012756,0.965850830078125,0.9983999729156494
20,0.9772999882698059,0.12320040166378021,5e-05,0.9762522578239441,0.9783999919891357,0.9273191094398499,0.2834044098854065,0.9164223074913025,1.0
21,0.979200005531311,0.11819687485694885,5e-05,0.9780526757240295,0.980400025844574,0.9425406455993652,0.23757506906986237,0.9328295588493347,0.9998999834060669
22,0.9805999994277954,0.11401890963315964,5e-05,0.9799280762672424,0.9812999963760376,0.9187918305397034,0.36324653029441833,0.9075233936309814,1.0
23,0.9820500016212463,0.10703731328248978,2.5e-05,0.9803687334060669,0.9837999939918518,0.9319413304328918,0.28520438075065613,0.921319305896759,1.0
24,0.9839500188827515,0.10226171463727951,2.5e-05,0.9836114645004272,0.9843000173568726,0.9125757217407227,0.428209125995636,0.9012167453765869,0.9998999834060669
